U0015D, LATIN SMALL LETTER S WITH CIRCUMFLEX   , scirc
U0015E, LATIN CAPITAL LETTER S WITH CEDILLA    , Scedil
U0015F, LATIN SMALL LETTER S WITH CEDILLA      , scedil
U00160, LATIN CAPITAL LETTER S WITH CARON      , Scaron
U00161, LATIN SMALL LETTER S WITH CARON        , scaron
U00162, LATIN CAPITAL LETTER T WITH CEDILLA    , Tcedil
U00163, LATIN SMALL LETTER T WITH CEDILLA      , tcedil
U00164, LATIN CAPITAL LETTER T WITH CARON      , Tcaron
U00165, LATIN SMALL LETTER T WITH CARON        , tcaron
U00166, LATIN CAPITAL LETTER T WITH STROKE     , Tstrok
U00167, LATIN SMALL LETTER T WITH STROKE       , tstrok
U00168, LATIN CAPITAL LETTER U WITH TILDE      , Utilde
U00169, LATIN SMALL LETTER U WITH TILDE        , utilde
U0016A, LATIN CAPITAL LETTER U WITH MACRON     , Umacr
U0016B, LATIN SMALL LETTER U WITH MACRON       , umacr
U0016C, LATIN CAPITAL LETTER U WITH BREVE      , Ubreve
U0016D, LATIN SMALL LETTER U WITH BREVE        , ubreve
U0016E, LATIN CAPITAL LETTER U WITH RING ABOVE , Uring
U0016F, LATIN SMALL LETTER U WITH RING ABOVE   , uring
U00170, LATIN CAPITAL LETTER U WITH DOUBLE ACUTE, Udblac
U00171, LATIN SMALL LETTER U WITH DOUBLE ACUTE , udblac
U00172, LATIN CAPITAL LETTER U WITH OGONEK     , Uogon
U00173, LATIN SMALL LETTER U WITH OGONEK       , uogon
U00174, LATIN CAPITAL LETTER W WITH CIRCUMFLEX , Wcirc
U00175, LATIN SMALL LETTER W WITH CIRCUMFLEX   , wcirc
U00176, LATIN CAPITAL LETTER Y WITH CIRCUMFLEX , Ycirc
U00177, LATIN SMALL LETTER Y WITH CIRCUMFLEX   , ycirc
U00178, LATIN CAPITAL LETTER Y WITH DIAERESIS  , Yuml
U00179, LATIN CAPITAL LETTER Z WITH ACUTE      , Zacute
U0017A, LATIN SMALL LETTER Z WITH ACUTE        , zacute
U0017B, LATIN CAPITAL LETTER Z WITH DOT ABOVE  , Zdot
U0017C, LATIN SMALL LETTER Z WITH DOT ABOVE    , zdot
U0017D, LATIN CAPITAL LETTER Z WITH CARON      , Zcaron
U0017E, LATIN SMALL LETTER Z WITH CARON        , zcaron
U00192, LATIN SMALL LETTER F WITH HOOK         , fnof
U001B5, LATIN CAPITAL LETTER Z WITH STROKE     , imped
U001F5, LATIN SMALL LETTER G WITH ACUTE        , gacute
U002C6, MODIFIER LETTER CIRCUMFLEX ACCENT      , circ
U002C7, CARON                                  , caron, Hacek
U002D8, BREVE                                  , breve, Breve
U002D9, DOT ABOVE                              , dot, DiacriticalDot
U002DA, RING ABOVE                             , ring
U002DB, OGONEK                                 , ogon
U002DC, SMALL TILDE                            , tilde, DiacriticalTilde
U002DD, DOUBLE ACUTE ACCENT                    , dblac, DiacriticalDoubleAcute
U00311, COMBINING INVERTED BREVE               , DownBreve
U00332, COMBINING LOW LINE                     , UnderBar
U00393, GREEK CAPITAL LETTER GAMMA             , Gamma
U00394, GREEK CAPITAL LETTER DELTA             , Delta
U00398, GREEK CAPITAL LETTER THETA             , Theta
U0039B, GREEK CAPITAL LETTER LAMDA             , Lambda
U0039E, GREEK CAPITAL LETTER XI                , Xi
U003A0, GREEK CAPITAL LETTER PI                , Pi
U003A3, GREEK CAPITAL LETTER SIGMA             , Sigma
U003A5, GREEK CAPITAL LETTER UPSILON           , Upsilon
U003A6, GREEK CAPITAL LETTER PHI               , Phi
U003A8, GREEK CAPITAL LETTER PSI               , Psi
U003A9, GREEK CAPITAL LETTER OMEGA             , Omega
U003B1, GREEK SMALL LETTER ALPHA               , alpha
U003B2, GREEK SMALL LETTER BETA                , beta
U003B3, GREEK SMALL LETTER GAMMA               , gamma
U003B4, GREEK SMALL LETTER DELTA               , delta
U003B5, GREEK SMALL LETTER EPSILON             , epsiv, varepsilon
U003B6, GREEK SMALL LETTER ZETA                , zeta
U003B7, GREEK SMALL LETTER ETA                 , eta
U003B8, GREEK SMALL LETTER THETA               , theta
U003B9, GREEK SMALL LETTER IOTA                , iota
U003BA, GREEK SMALL LETTER KAPPA               , kappa
U003BB, GREEK SMALL LETTER LAMDA               , lambda
U003BC, GREEK SMALL LETTER MU                  , mu
U003BD, GREEK SMALL LETTER NU                  , nu
U003BE, GREEK SMALL LETTER XI                  , xi
U003C0, GREEK SMALL LETTER PI                  , pi
U003C1, GREEK SMALL LETTER RHO                 , rho
U003C2, GREEK SMALL LETTER FINAL SIGMA         , sigmav, varsigma
U003C3, GREEK SMALL LETTER SIGMA               , sigma
U003C4, GREEK SMALL LETTER TAU                 , tau
U003C5, GREEK SMALL LETTER UPSILON             , upsi, upsilon
U003C6, GREEK SMALL LETTER PHI                 , phiv, varphi
U003C7, GREEK SMALL LETTER CHI                 , chi
U003C8, GREEK SMALL LETTER PSI                 , psi
U003C9, GREEK SMALL LETTER OMEGA               , omega
U003D1, GREEK THETA SYMBOL                     , thetav, vartheta
U003D2, GREEK UPSILON WITH HOOK SYMBOL         , Upsi
U003D5, GREEK PHI SYMBOL                       , phi, straightphi
U003D6, GREEK PI SYMBOL                        , piv, varpi
U003DC, GREEK LETTER DIGAMMA                   , Gammad
U003DD, GREEK SMALL LETTER DIGAMMA             , gammad, digamma
U003F0, GREEK KAPPA SYMBOL                     , kappav, varkappa
U003F1, GREEK RHO SYMBOL                       , rhov, varrho
U003F5, GREEK LUNATE EPSILON SYMBOL            , epsi, straightepsilon
U003F6, GREEK REVERSED LUNATE EPSILON SYMBOL   , bepsi, backepsilon
U00401, CYRILLIC CAPITAL LETTER IO             , IOcy
U00402, CYRILLIC CAPITAL LETTER DJE            , DJcy
U00403, CYRILLIC CAPITAL LETTER GJE            , GJcy
U00404, CYRILLIC CAPITAL LETTER UKRAINIAN IE   , Jukcy
U00405, CYRILLIC CAPITAL LETTER DZE            , DScy
U00406, CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I, Iukcy
U00407, CYRILLIC CAPITAL LETTER YI             , YIcy
U00408, CYRILLIC CAPITAL LETTER JE             , Jsercy
U00409, CYRILLIC CAPITAL LETTER LJE            , LJcy
U0040A, CYRILLIC CAPITAL LETTER NJE            , NJcy
U0040B, CYRILLIC CAPITAL LETTER TSHE           , TSHcy
U0040C, CYRILLIC CAPITAL LETTER KJE            , KJcy
